0036-20e3,six,6⃣
0037-20e3,seven,7⃣
0038-20e3,eight,8⃣
0039-20e3,nine,9⃣
1f51f,keycap_ten,🔟
25b6,arrow_forward,▶
23f8,pause_button,⏸
23ef,play_pause,⏯
23f9,stop_button,⏹
23fa,record_button,⏺
23ed,track_next,⏭
23ee,track_previous,⏮
23e9,fast_forward,⏩
23ea,rewind,⏪
1f500,twisted_rightwards_arrows,🔀
1f501,repeat,🔁
1f502,repeat_one,🔂
25c0,arrow_backward,◀
1f53c,arrow_up_small,🔼
1f53d,arrow_down_small,🔽
23eb,arrow_double_up,⏫
23ec,arrow_double_down,⏬
27a1,arrow_right,➡
2b05,arrow_left,⬅
2b06,arrow_up,⬆
2b07,arrow_down,⬇
2197,arrow_upper_right,↗
2198,arrow_lower_right,↘
2199,arrow_lower_left,↙
2196,arrow_upper_left,↖
2195,arrow_up_down,↕
2194,left_right_arrow,↔
1f504,arrows_counterclockwise,🔄
21aa,arrow_right_hook,↪
21a9,leftwards_arrow_with_hook,↩
2934,arrow_heading_up,⤴
